Performer,Show,Show Start,Show End,Status?,CharEnd,Years Since,#LEAD,#SUPPORT,#Shows,Score,Score/Y,lead_notes,support_notes,show_notes
Brad Dourif,Deadwood.17,2004.23,2006.57,END.56,2006.58,9.33,1.28,5.9,0.68,2.25.1,0.25.4,"Chain Letter, 2010","Halloween, 2007; Haloween 2, 2009; Priest, 2011; Fading of the Cross, 2011; Catch .44, 2011",
Bree Seanna Wall,Deadwood.18,2004.24,2006.59,END.57,2006.60,9.34,0.69,0.70,0.71,0.72,0.73,Unnamed: 824,Unnamed: 825,
Jeffrey Jones,Deadwood.19,2004.25,2006.61,END.58,2006.62,9.35,1.29,0.74,0.75,1.30,0.111111111.1,"Who's Your Caddy?, 2007",Unnamed: 839,
Peter Jason,Deadwood.20,2004.26,2006.63,END.59,2006.64,9.36,0.76,1.31,0.77,0.25.5,0.027777778,Unnamed: 852,"The Secret World of Arietty, 2012",
Larry Cedar,Deadwood.21,2004.27,2006.65,END.60,2006.66,9.37,0.78,2.27,0.79,0.5.2,0.055555556,Unnamed: 866,"The Ant Bully, 2006; Atlas Shrugged: Who Is John Galt, 2014",
Geri Jewell,Deadwood.22,2004.28,2006.67,END.61,2006.68,9.38,0.80,0.81,0.82,0.83,0.84,Unnamed: 880,Unnamed: 881,
Ralph Richeson,Deadwood.23,2004.29,2006.69,END.62,2006.70,9.39,0.85.1,0.86,0.87,0.88,0.89,Unnamed: 894,Unnamed: 895,
Edie Falco,The Sopranos.1,1999.12,2007.1,END.63,2007.2,8.6,0.90,0.91,7.8,7.9,0.875,Unnamed: 908,Unnamed: 909,"Nurse Jackie, Season 1-7
Lorraine Bracco",The Sopranos.2,1999.13,2007.3,END.64,2007.4,8.7,0.92,0.93,6.11,6.12,0.75.1,Unnamed: 922,Unnamed: 923,"Rizzoli & Isles, Season 1-5
Mark Valley",Boston Legal,2004.30,2008,END.65,2007.5,8.8,0.94,1.32,6.13,6.25.4,0.78125,Unnamed: 936,"Zero Dark Thirty, 2012","Fringe, Season 1; Human Target, Season 1-2; Harry's Law, Season 2; Body of Proof, Season 2; Crisis, Season 1;
Steve Schirripa",The Sopranos.3,1999.14,2007.6,END.66,2007.7,8.9,0.95,1.33,5.10,5.25.1,0.65625,Unnamed: 950,"Planes: Fire and Rescue, 2014",The Secret Life of the American Teenager Season 1-5
Michael Imperioli,The Sopranos.4,1999.15,2007.8,END.67,2007.9,8.10,0.96,6.14,3.15,4.5.3,0.5625,Unnamed: 964,"The Lovely Bones, 2009; Stuck between stations, 2011; The Call, 2013; Oldboy, 2013; Catinflas, 2014; The Scribbler, 2014","Life on Mars, Season 1; Detroit 1-8-7, Season 1; Californication, Season 7
Steven Van Zandt",The Sopranos.5,1999.16,2007.10,END.68,2007.11,8.11,0.97,0.98,3.16,3.17,0.375,Unnamed: 978,Unnamed: 979,"Lillyhammer, Season 1-3
Jamie-Lynn Sigler",The Sopranos.6,1999.17,2007.12,END.69,2007.13,8.12,2.28,0.99,2.29,4.12,0.5.3,"I Do, 2013; Jewtopia, 2013",Unnamed: 993,"Entourage, Season 6; Guys with Kids, Season 1
Dominic Chianese",The Sopranos.7,1999.18,2007.14,END.70,2007.15,8.13,0.100,0.101,1.34,1.35,0.125.1,Unnamed: 1006,Unnamed: 1007,"Damages, Season 3; 
James Gandolfini",The Sopranos.8,1999.19,2007.16,END.71,2007.17,8.14,4.13,7.10,0.102,5.75.4,0.71875,"Welcome to the Rileys, 2010; Down the Shore, 2013; Enough Said, 2013; The Drop, 2014","The Taking of Pelham 123, 2009; Where the Wild Things Are, 2009; Killing them Softly, 2012; Zero Dark Thirty, 2012; Not Fade Away, 2012; The Incredible Burt Wonderstone, 2013; Violet and Daisy, 2013",
Tony Sirico,The Sopranos.9,1999.20,2007.18,END.72,2007.19,8.15,0.103,0.104,0.105,0.106,0.107,Unnamed: 1034,Unnamed: 1035,
Robert Iler,The Sopranos.10,1999.21,2007.20,END.73,2007.21,8.16,0.108,0.109,0.110,0.111,0.112,Unnamed: 1048,Unnamed: 1049,
Aida Turturro,The Sopranos.11,1999.22,2007.22,END.74,2007.23,8.17,0.113,0.114,0.115,0.116,0.117,Unnamed: 1062,Unnamed: 1063,
Dan Grimaldi,The Sopranos.12,1999.23,2007.24,END.75,2007.25,8.18,0.118,1.36,0.119,0.25.6,0.03125,Unnamed: 1076,"The Quitter, 2014",
Julie Bowen,Boston Legal.1,2004.31,2008.1,END.76,2008.2,7.11,1.37,2.30,6.15,7.5.1,1.071428571,"Knife Fight, 2013","Jumping the Broom, 2011; Planes: Fire and Rescue, 2014","Modern Family, Season 1-6
Goran Visnjic",ER,1994,2009,END.77,2008.3,7.12,1.38,3.18,3.19,4.75,0.678571429,"k-11, 2013","Beginners, 2011; The Girl With The Dragon Tattoo, 2011; The Counselor, 2013","The Deep, Season 1; Red Widow, Season 1; Extant, Season 1
James Spader",Boston Legal.2,2004.32,2008.4,END.78,2008.5,7.13,1.39,2.31,3.20,4.5.4,0.642857143,"The Avengers: Age of Ultron, 2015","Lincoln, 2012; The Homesman, 2014","The Office, Season 8; The Blacklist, Season 1-2
Rene Auberjonois",Boston Legal.3,2004.33,2008.6,END.79,2008.7,7.14,0.120,1.40,3.21,3.25,0.464285714,Unnamed: 1132,"Planes: Fire and Rescue, 2014.1","Pound Puppies, Season 1-3
Gaius Charles",Friday Night Lights,2006.71,2011,END.80,2008.8,7.15,0.121,0.122,2.32,2.33,0.285714286,Unnamed: 1146,Unnamed: 1147,"Grey's Anatomy, Season 9-10
Anthony Edwards",ER.1,1994.1,2009.1,END.81,2008.9,7.16,0.123,4.14,1.41,2.34,0.285714286.1,Unnamed: 1160,"Motherhood, 2009; Flipped, 2010; Disney Planes, 2013; Big Sur, 2013","Zero Hour, season1
William Shatner",Boston Legal.4,2004.34,2008.10,END.82,2008.11,7.17,1.42,0.124,1.43,2.35,0.285714286.2,"Escape from Planet Earth, 2013",Unnamed: 1175,"$#*! My Dad Says, Season 1; 
Candice Bergen",Boston Legal.5,2004.35,2008.12,END.83,2008.13,7.18,0.125.2,3.22,0.126,0.75.2,0.107142857,Unnamed: 1188,"Sex and the City, 2008; The Women, 2008; A Merry Friggin Christmas, 2014",
Noah Wyle,ER.2,1994.2,2009.2,END.84,2009.3,6.16,2.36,1.44,5.11,7.25,1.208333333,"Queen of the Lot, 2010; The World Made Straight, 2015",Snake and Mongoose,"Falling Skies, Season 1-5
Maura Tierney",ER.3,1994.3,2009.4,END.85,2009.5,6.17,1.45,0.127,4.15,5.12,0.833333333,"Nature Calls, 2012",Unnamed: 1217,"The Whole Truth, Season 1; Ruth & Erica, Season 1; The Affair, Season 1-2
Laura Innes",ER.4,1994.4,2009.6,END.86,2009.7,6.18,0.128,0.129,2.37,2.38,0.333333333.2,Unnamed: 1230,Unnamed: 1231,"The Event, Season 1; Awake, Season1
Carlos Bernard",24,2001.8,2010.2,END.87,2009.8,6.19,0.130,0.131,2.39,2.40,0.333333333.3,Unnamed: 1244,Unnamed: 1245,"Scoundrels, Season 1; Dallas, Season 1
Minka Kelly",Friday Night Lights.1,2006.72,2011.1,END.88,2009.9,6.20,1.46,2.41,2.42,3.5.3,0.583333333,"The World Made Straight, 2015","The Roommate, 2011; Lee Daniels' The Butler, 2013","Charlie's Angels, Season 1; Almost Human, Season 1
Yvette Freeman",ER.5,1994.5,2009.10,END.89,2009.11,6.21,0.132,0.133,1.47,1.48,0.166666667,Unnamed: 1272,Unnamed: 1273,"Orange is the new Black, Season 2
Laura CerÑn",ER.6,1994.6,2009.12,END.90,2009.13,6.22,0.134,0.135,0.136,0.137,0.138,Unnamed: 1286,Unnamed: 1287,
Deezer D,ER.7,1994.7,2009.14,END.91,2009.15,6.23,0.139,0.140,0.141,0.142,0.143,Unnamed: 1300,Unnamed: 1301,
Eriq La Salle,ER.8,1994.8,2009.16,END.92,2009.17,6.24,0.144,0.145,0.146,0.147,0.148,Unnamed: 1314,Unnamed: 1315,
Emily Wagner,ER.9,1994.9,2009.18,END.93,2009.19,6.25.5,0.149,1.49,0.150,0.25.7,0.041666667,Unnamed: 1328,"2 Days In New York, 2012",
