Performer,Score per year,Total score,Show
Peter Jason,0.0.2,0.25.13,Deadwood
Mageina Tovah,0.0.3,0.25.14,Joan of Arcadia
Michael Badalucco,0.0.4,0.25.15,The Practice
Aida Turturro,0.0.5,0,The Sopranos
Alexander Skarsgrd,0.0.6,0.1.11,True Blood
Anatol Yusef,0.0.7,0.2.7,Boardwalk Empire
Anthony Laciura,0.0.8,0.3.32,Boardwalk Empire
Becky Wahlstrom,0.0.9,0.4.9,Joan of Arcadia
Blue Deckert,0.0.10,0.5.27,Friday Night Lights
Bobbin Bergstrom,0.0.11,0.6.16,House
Brad Leland,0.0.12,0.7.13,Friday Night Lights
Brady Noon,0.0.13,0.8.11,Boardwalk Empire
Bree Seanna Wall,0.0.14,0.9.10,Deadwood
C.S. Lee,0.0.15,0.10,Dexter
Chris Bauer,0.0.16,0.11,True Blood
Christina Robinson,0.0.17,0.12,Dexter
Connor Noon,0.0.18,0.13,Boardwalk Empire
Cristine Rose,0.0.19,0.14,Heroes
Dana Gourrier,0.0.20,0.15,True Detective
Daveigh Chase,0.0.21,0.16,Big Love
Declan McTigue,0.0.22,0.17,Boardwalk Empire
Deezer D,0.0.23,0.18,ER
Desmond Harrington,0.0.24,0.19,Dexter
Eriq La Salle,0.0.25,0.20,ER
Garrett Gray,0.0.26,0.21,Big Love
Geri Jewell,0.0.27,0.22,Deadwood
Jack Gleeson,0.0.28,0.23,Game of Thrones
Jackson Pace,0.0.29,0.24,Homeland
James Kyson,0.0.30,0.25.16,Heroes
Jerry Orbach,0.0.31,0.26,Law & Order
John Spencer,0.0.32,0.27,The West Wing
Josie Gallina,0.0.33,0.28,Boardwalk Empire
Keegan Holst,0.0.34,0.29,Big Love
Kelly Macdonald,0.0.35,0.30,Boardwalk Empire
Kristin Bauer van Straten,0.0.36,0.31,True Blood
Lara Flynn Boyle,0.0.37,0.32,The Practice
Laura CerÑn,0.0.38,0.33,ER
Lauren Bowles,0.0.39,0.34,True Blood
Lauren Vlez,0.0.40,0.35,Dexter
Lucy Gallina,0.0.41,0.36,Boardwalk Empire
Meghan Wolfe,0.0.42,0.37,True Detective
Michael Gill,0.0.43,0.38,House of Cards
Michael Irby,0.0.44,0.39,True Detective
Michael Potts,0.0.45,0.40,True Detective
NiCole Robinson,0.0.46,0.41,The West Wing
Paul Guilfoyle,0.0.47,0.42,CSI: Crime Scene Investigations
Ralph Richeson,0.0.48,0.43,Deadwood
RJ Mitte,0.0.49,0.44,Breaking Bad
Robert Iler,0.0.50,0.45,The Sopranos
Rory McTigue,0.0.51,0.46,Boardwalk Empire
Steven Hill,0.0.52,0.47,Law & Order
Steven Michael Quezada,0.0.53,0.48,Breaking Bad
Timothy F. Crowley,0.0.54,0.49,Friday Night Lights
Tony Molina Jr.,0.0.55,0.50,True Detective
Tony Sirico,0.0.56,0.51,The Sopranos
