ï»¿current_name,states,original_name,current_agency,action,date,year,pres_or_congress,acres_affected
Lassen Volcanic National Park.1,California.2,Lassen Volcanic National Monument,NPS.18,Established.6,5/6/07.1,1907.2,T. Roosevelt.6,"1,280
Lassen Volcanic National Park",California.3,Lassen Volcanic National Monument.1,NPS.19,Redesignated Lassen Volcanic NP,8/9/16.1,1916.1,64th Congress.1,
Gila Cliff Dwellings National Monument,New Mexico.5,Unnamed: 170,NPS.20,Established.7,11/16/07,1907.3,T. Roosevelt.7,160
Gila Cliff Dwellings National Monument,New Mexico.6,Unnamed: 178,NPS.21,Enlarged.7,4/17/62,1962,J. Kennedy,373.25
Tonto National Monument,Arizona.10,Unnamed: 186,NPS.22,Established.8,12/19/07,1907.4,T. Roosevelt.8,640
Tonto National Monument,Arizona.11,Unnamed: 194,NPS.23,Enlarged.8,4/1/37,1937.1,F. D. Roosevelt.1,480
Muir Woods National Monument,California.4,Unnamed: 202,NPS.24,Established.9,1/9/08,1908,T. Roosevelt.9,295
Muir Woods National Monument,California.5,Unnamed: 210,NPS.25,Enlarged.9,9/22/21,1921,W. Harding,128.14
Muir Woods National Monument,California.6,Unnamed: 218,NPS.26,Enlarged.10,4/5/35,1935,F. D. Roosevelt.2,1.36
Muir Woods National Monument,California.7,Unnamed: 226,NPS.27,Enlarged.11,6/26/51,1951,H. Truman,504.271
Muir Woods National Monument,California.8,Unnamed: 234,NPS.28,Enlarged.12,9/8/59,1959,D. Eisenhower,6.16
Grand Canyon National Park,Arizona.12,Grand Canyon National Monument,NPS.29,Established.10,1/11/08,1908.1,T. Roosevelt.10,"808,120
Grand Canyon National Park",Arizona.13,Grand Canyon National Monument.1,NPS.30,Redesignated Grand Canyon NP,2/26/19,1919,65th Congress,
Pinnacles National Park,California.9,Pinnacles National Monument,NPS.31,Established.11,1/16/08,1908.2,T. Roosevelt.11,"1,320
Pinnacles National Park",California.10,Pinnacles National Monument.1,NPS.32,Enlarged.13,5/7/23,1923,W. Harding.1,"2,653.46
Pinnacles National Park",California.11,Pinnacles National Monument.2,NPS.33,Enlarged.14,7/2/24,1924,C. Coolidge.1,"2,980.26
Pinnacles National Park",California.12,Pinnacles National Monument.3,NPS.34,Enlarged.15,4/13/31,1931.1,H. Hoover.3,"1,926.35
Pinnacles National Park",California.13,Pinnacles National Monument.4,NPS.35,Enlarged.16,7/11/33,1933,F. D. Roosevelt.3,4805
Pinnacles National Park,California.14,Pinnacles National Monument.5,NPS.36,Enlarged.17,12/5/41,1941,F. D. Roosevelt.4,"4,589.26
Pinnacles National Park",California.15,Pinnacles National Monument.6,NPS.37,Enlarged.18,1/11/00,2000,W. Clinton,"7,900
Pinnacles National Park",California.16,Pinnacles National Monument.7,NPS.38,Redesignated NP.1,1/10/13,2013,112th Congress,440
Jewel Cave National Monument,South Dakota,Unnamed: 322,NPS.39,Established.12,2/7/08,1908.3,T. Roosevelt.12,"1,274.56
Natural Bridges National Monument",Utah,Unnamed: 330,NPS.40,Established.13,4/16/08,1908.4,T. Roosevelt.13,120
Natural Bridges National Monument,Utah.1,Unnamed: 338,NPS.41,Enlarged.19,9/25/09,1909,W. Taft.1,"2,620
Natural Bridges National Monument",Utah.2,Unnamed: 346,NPS.42,Boundaries Confirmed,2/11/16,1916.2,W. Wilson.1,
Natural Bridges National Monument,Utah.3,Unnamed: 354,NPS.43,Enlarged.20,8/14/62,1962.1,J. Kennedy.1,"5,236
Natural Bridges National Monument",Utah.4,Unnamed: 362,NPS.44,Diminished.1,Unnamed: 365,Unnamed: 366,Unnamed: 367,320
Lewis and Clark Caverns State Park,Montana,Lewis and Clark Cavern National Monument,State of Montana,Established.14,5/11/08,1908.5,T. Roosevelt.14,160
Lewis and Clark Caverns State Park,Montana.1,Lewis and Clark Cavern National Monument.1,State of Montana.1,Boundaries Confirmed.1,5/16/11,1911.1,W. Taft.2,160
Lewis and Clark Caverns State Park.1,Montana.2,Lewis and Clark Cavern National Monument.2,State of Montana.2,"Transferred to MT, now a state park",8/24/37,1937.2,75th Congress,
Tumacacori National Historical Park,Arizona.14,Tumacacori National Monument,NPS.45,Established.15,9/15/08,1908.6,T. Roosevelt.15,10
Tumacacori National Historical Park,Arizona.15,Tumacacori National Monument.1,NPS.46,Enlarged.21,3/28/58.1,1958.1,D. Eisenhower.1,0.15
Tumacacori National Historical Park,Arizona.16,Tumacacori National Monument.2,NPS.47,Enlarged.22,11/10/78.2,1978.2,95th Congress.2,7
Tumacacori National Historical Park,Arizona.17,Tumacacori National Monument.3,NPS.48,Deleted.1,11/10/78.3,1978.3,95th Congress.3,0.011
Tumacacori National Historical Park,Arizona.18,Tumacacori National Monument.4,NPS.49,Redesignated NHP,8/6/90,1990,101st Congress,
Part of Rio Grande National Forest,Colorado,Wheeler National Monument,BLM,Established.16,12/7/08,1908.7,T. Roosevelt.16,300
Part of Rio Grande National Forest,Colorado.1,Wheeler National Monument.1,BLM.1,"Transferred to BLM, part of Rio Grande National Forest",8/3/50,1950,81st Congress,
Olympic National Park,Washington,Mount Olympus,NPS.50,Established.17,3/2/09,1909.1,T. Roosevelt.17,"639,200
Olympic National Park",Washington.1,Mount Olympus.1,NPS.51,Diminished.2,4/17/12,1912,W. Taft.3,160
Olympic National Park,Washington.2,Mount Olympus.2,NPS.52,Diminished.3,5/11/15,1915,W. Wilson.2,"313,280
Olympic National Park",Washington.3,Mount Olympus.3,NPS.53,Diminished.4,1/7/29,1929,C. Coolidge.2,640
Olympic National Park,Washington.4,Mount Olympus.4,NPS.54,Redesignated NP.2,6/29/38,1938,75th Congress.1,
Navajo National Monument,Arizona.19,Unnamed: 490,NPS.55,Established.18,3/20/09,1909.2,W. Taft.4,360
Navajo National Monument,Arizona.20,Unnamed: 498,NPS.56,Diminished.5,3/14/12,1912.1,W. Taft.5,320
Oregon Caves National Monument and Preserve,Oregon,Oregon Caves National Monument,NPS.57,Established.19,7/12/09,1909.3,W. Taft.6,465.8
Oregon Caves National Monument and Preserve,Oregon.1,Oregon Caves National Monument.1,NPS.58,Enlarged.23,11/10/78.4,1978.4,95th Congress.4,8
Oregon Caves National Monument and Preserve,Oregon.2,Oregon Caves National Monument.2,NPS.59,Redesignated NMP,12/19/14,2014,113th Congress,
Zion National Park,Utah.5,Mukuntu-Weap/Zion National Monument,NPS.60,Established.20,7/31/09,1909.4,W. Taft.7,"16,000
Zion National Park",Utah.6,Mukuntu-Weap/Zion National Monument.1,NPS.61,Enlarged & Renamed,3/18/18,1918,W. Wilson.3,"76,800
Zion National Park",Utah.7,Mukuntu-Weap/Zion National Monument.2,NPS.62,Redesignated NP.3,11/19/19,1919.1,66th Congress,
Spirit Mountain Cave,Wyoming.1,Shoshone Cavern,BLM.2,Established.21,9/21/09,1909.5,W. Taft.8,210
Spirit Mountain Cave,Wyoming.2,Shoshone Cavern.1,BLM.3,Transferred to WY,5/17/54,1954,83d Congress,
Salinas Pueblo Missions National Monument,New Mexico.7,Gran Quivira,NPS.63,Established.22,11/1/09,1909.6,W. Taft.9,160
Salinas Pueblo Missions National Monument,New Mexico.8,Gran Quivira.1,NPS.64,Enlarged.24,11/25/19,1919.2,W. Wilson.4,240
Salinas Pueblo Missions National Monument,New Mexico.9,Gran Quivira.2,NPS.65,"Abolished, funds available to Salinas NM",12/19/80.1,1980.1,96th Congress.1,
Salinas Pueblo Missions National Monument.1,New Mexico.10,Gran Quivira.3,NPS.66,Redesignated Salinas Pueblo Missions NM,10/28/88,1988,Unnamed: 599,
Sitka National Historical Park,Alaska,Sitka National Monument,NPS.67,Established.23,3/23/10,1910,W. Taft.10,57
Sitka National Historical Park,Alaska.1,Sitka National Monument.1,NPS.68,Resurveyed & Enlarged,2/25/52,1952,H. Truman.1,54.334
Sitka National Historical Park,Alaska.2,Sitka National Monument.2,NPS.69,Redesignated NHP.1,10/18/72,1972,92d Congress,
Sitka National Historical Park.1,Alaska.3,Sitka National Monument.3,NPS.70,Deleted.2,7/30/83,1983,96th Congress.2,
Rainbow Bridge National Monument,Utah.8,Unnamed: 634,NPS.71,Established.24,5/30/10,1910.1,W. Taft.11,160
Big Hole National Battlefield,Montana.3,Big Hole Battlefield National Monument,NPS.72,Established.25,6/23/10,1910.2,W. Taft.12,5
Big Hole National Battlefield,Montana.4,Big Hole Battlefield National Monument.1,NPS.73,Enlarged.25,6/29/39,1939,F. D. Roosevelt.5,195
Big Hole National Battlefield,Montana.5,Big Hole Battlefield National Monument.2,NPS.74,Redesignated NB,5/17/63,1963,88th Congress,
Colorado National Monument,Colorado.2,Unnamed: 666,NPS.75,Established.26,5/24/11,1911.2,W. Taft.13,"13,883.06
Colorado National Monument",Colorado.3,Unnamed: 674,NPS.76,Enlarged.26,3/3/33,1933.1,H. Hoover.4,
Colorado National Monument.1,Colorado.4,Unnamed: 682,NPS.77,Diminished.6,8/7/59,1959.1,D. Eisenhower.2,211
Colorado National Monument,Colorado.5,Unnamed: 690,NPS.78,Enlarged.27,Unnamed: 693,Unnamed: 694,Unnamed: 695,120
Devils Postpile National Monument,California.17,Unnamed: 698,NPS.79,Established.27,7/6/11,1911.3,W. Taft.14,798.46
Cabrillo National Monument,California.18,Unnamed: 706,NPS.80,Established.28,10/14/13,1913,W. Wilson.5,0.5
Cabrillo National Monument,California.19,Unnamed: 714,NPS.81,Enlarged.28,2/2/59,1959.2,D. Eisenhower.3,80
Cabrillo National Monument,California.20,Unnamed: 722,NPS.82,Enlarged.29,9/28/74,1974,G. Ford,56.6
Papago Park,Arizona.21,Papago Saguaro National Monument,State of Arizona,Established.29,1/31/14,1914,W. Wilson.6,"2,050.43
Papago Park",Arizona.22,Papago Saguaro National Monument.1,State of Arizona.1,"Transferred to AZ, now Papago Park",4/7/30,1930.1,71st Congress,
Dinosaur National Monument,"Utah, Colorado",Unnamed: 746,NPS.83,Established.30,10/4/15,1915.1,W. Wilson.7,80
Dinosaur National Monument,"Utah, Colorado.1",Unnamed: 754,NPS.84,Enlarged.30,7/14/38,1938.1,F. D. Roosevelt.6,"203,885
Walnut Canyon National Monument",Arizona.23,Unnamed: 762,NPS.85,Established.31,11/30/15,1915.2,W. Wilson.8,960
Walnut Canyon National Monument,Arizona.24,Unnamed: 770,NPS.86,Enlarged.31,9/24/38,1938.2,F. D. Roosevelt.7,913.6
Bandelier National Monument,New Mexico.11,Unnamed: 778,NPS.87,Established.32,2/11/16.1,1916.3,W. Wilson.9,"23,352
Bandelier National Monument",New Mexico.12,Unnamed: 786,NPS.88,Enlarged.32,2/15/32,1932.1,H. Hoover.5,
Bandelier National Monument,New Mexico.13,Unnamed: 794,NPS.89,Enlarged.33,1/9/61,1961,D. Eisenhower.4,"3,600
Bandelier National Monument",New Mexico.14,Unnamed: 802,NPS.90,Enlarged.34,5/27/63,1963.1,J. Kennedy.2,"2,882
Bandelier National Monument",New Mexico.15,Unnamed: 810,NPS.91,Diminished.7,Unnamed: 813,Unnamed: 814,Unnamed: 815,"3,925
Acadia National Park",Maine,Sieur de Monts National Monument,NPS.92,Established.33,7/8/16,1916.4,W. Wilson.10,"5,000
Acadia National Park",Maine.1,Sieur de Monts National Monument.1,NPS.93,Redesignated Lafayette NP,2/26/19.1,1919.3,65th Congress.1,
Acadia National Park,Maine.2,Sieur de Monts National Monument.2,NPS.94,Redesignated Acadia NP,1930.2,Unnamed: 838,Unnamed: 839,
Capulin Volcano National Monument,New Mexico.16,Capulin Mountain,NPS.95,Established.34,8/9/16.2,1916.5,W. Wilson.11,640.42
Capulin Volcano National Monument,New Mexico.17,Capulin Mountain.1,NPS.96,Redesignated Capulin Volcano NM,3/3/33.1,1933.2,H. Hoover.6,
Part of Tongass National Forest,Alaska.4,Old Kasaan,USFS,Established.35,10/25/16,1916.6,W. Wilson.12,43
Part of Tongass National Forest,Alaska.5,Old Kasaan.1,USFS.1,Transferred to Forest Service,7/26/55,1955,84th Congress,
Crow Flies High Overlook,North Dakota,Verendrye National Monument,State of North Dakota,Established.36,6/29/17,1917.1,W. Wilson.13,253.04
Crow Flies High Overlook,North Dakota.1,Verendrye National Monument.1,State of North Dakota.1,Transferred to ND,7/30/56,1956,84th Congress.1,
Casa Grande Ruins National Monument,Arizona.25,Unnamed: 890,NPS.97,Established.37,8/3/18,1918.1,W. Wilson.14,480
Katmai National Park and Preserve,Alaska.6,Katmai National Monument,NPS.98,Established.38,9/24/18,1918.2,W. Wilson.15,"1,088,000
Katmai National Park and Preserve",Alaska.7,Katmai National Monument.1,NPS.99,Enlarged.35,4/24/31,1931.2,H. Hoover.7,
Katmai National Park and Preserve,Alaska.8,Katmai National Monument.2,NPS.100,Restrictions Modified.,6/15/36,1936,F. D. Roosevelt.8,
Katmai National Park and Preserve.1,Alaska.9,Katmai National Monument.3,NPS.101,Enlarged.36,8/4/42,1942,F. D. Roosevelt.9,
Katmai National Park and Preserve.2,Alaska.10,Katmai National Monument.4,NPS.102,Enlarged.37,1/20/69,1969,L. Johnson,"94,547
Katmai National Park and Preserve",Alaska.11,Katmai National Monument.5,NPS.103,Enlarged.38,12/1/78,1978.5,J. Carter,"1,370,000
Katmai National Park and Preserve",Alaska.12,Katmai National Monument.6,NPS.104,Redesignated NP&P,12/2/80,1980.2,96th Congress.3,
Scotts Bluff National Monument,Nebraska,Unnamed: 954,NPS.105,Established.39,12/12/19,1919.4,W. Wilson.16,"2,053.83
Scotts Bluff National Monument",Nebraska.1,Unnamed: 962,NPS.106,Enlarged.39,6/1/32,1932.2,H. Hoover.8,
Scotts Bluff National Monument.1,Nebraska.2,Unnamed: 970,NPS.107,Enlarged.40,3/29/40,1940,F. D. Roosevelt.10,53.34
Yucca House National Monument,Colorado.6,Unnamed: 978,NPS.108,Established.40,12/19/19,1919.5,W. Wilson.17,9.6
Great Basin National Park,Nevada,Lehman Caves National Moument,NPS.109,Established.41,1/24/22,1922,W. Harding.2,593.03
Great Basin National Park,Nevada.1,Lehman Caves National Moument.1,NPS.110,Incorporated into Great Basin NP,10/27/86,1986,99th Congress,
Timpanogos Cave National Monument,Utah.9,Unnamed: 1002,NPS.111,Established.42,10/14/22,1922.1,W. Harding.3,250
Timpanogos Cave National Monument,Utah.10,Unnamed: 1010,NPS.112,Boundaries Confirmed.2,3/27/62,1962.2,J. Kennedy.3,
Fossil Cycad National Monument,South Dakota.1,Unnamed: 1018,BLM.4,Established.43,10/21/22,1922.2,W. Harding.4,320
Fossil Cycad National Monument,South Dakota.2,Unnamed: 1026,BLM.5,Transferred to BLM,8/1/56,1956.1,84th Congress.2,
Aztec Ruin National Monument,New Mexico.18,Unnamed: 1034,NPS.113,Established.44,1/24/23,1923.1,W. Harding.5,4.6
Aztec Ruin National Monument,New Mexico.19,Unnamed: 1042,NPS.114,Enlarged.41,7/2/28,1928.1,C. Coolidge.3,12.6
Aztec Ruin National Monument,New Mexico.20,Unnamed: 1050,NPS.115,Enlarged.42,12/19/30,1930.3,H. Hoover.9,6.8788
Aztec Ruin National Monument,New Mexico.21,Unnamed: 1058,NPS.116,Enlarged.43,5/27/48,1948,H. Truman.2,1.255
Hovenweep National Monument,"Utah, Colorado.2",Unnamed: 1066,NPS.117,Established.45,3/2/23,1923.2,W. Harding.6,285.8
Hovenweep National Monument,"Utah, Colorado.3",Unnamed: 1074,NPS.118,Enlarged.44,4/26/51,1951.1,H. Truman.3,80
Hovenweep National Monument,"Utah, Colorado.4",Unnamed: 1082,NPS.119,Enlarged.45,11/20/52,1952.1,H. Truman.4,81.02
Hovenweep National Monument,"Utah, Colorado.5",Unnamed: 1090,NPS.120,Diminished.8,4/6/56,1956.2,D. Eisenhower.5,40
Hovenweep National Monument,"Utah, Colorado.6",Unnamed: 1098,NPS.121,"Enlarged, administered by Canyonlands NP",Unnamed: 1101,Unnamed: 1102,Unnamed: 1103,40
Hopewell Culture National Historical Park,Ohio,Mound City Group National Monument,NPS.122,Established.46,3/2/23.1,1923.3,W. Harding.7,57
Hopewell Culture National Historical Park,Ohio.1,Mound City Group National Monument.1,NPS.123,Redesignated Hopewell Culture NHP,5/27/92,1992,102d Congress,
Pipe Spring National Monument,Arizona.26,Unnamed: 1122,NPS.124,Established.47,5/31/23,1923.4,W. Harding.8,40
Bryce Canyon National Park,Utah.11,Bryce Canyon National Monument,NPS.125,Established.48,6/8/23,1923.5,W. Harding.9,"7,440
Bryce Canyon National Park",Utah.12,Bryce Canyon National Monument.1,NPS.126,Redesignated NP.4,6/7/24,1924.1,68th Congress,
Carlsbad Caverns National Park,New Mexico.22,Carlsbad Cave National Monument,NPS.127,Established.49,10/25/23,1923.6,C. Coolidge.4,719.22
Carlsbad Caverns National Park,New Mexico.23,Carlsbad Cave National Monument.1,NPS.128,Redesignated NP.5,5/14/30,1930.4,71st Congress.1,
Chiricahua National Monument,Arizona.27,Unnamed: 1162,NPS.129,Established.50,4/18/24,1924.2,C. Coolidge.5,"3,655.12
Chiricahua National Monument",Arizona.28,Unnamed: 1170,NPS.130,Enlarged.46,6/10/38,1938.3,F. D. Roosevelt.11,"6,407
Craters of the Moon National Monument",Idaho,Unnamed: 1178,"NPS, BLM",Established.51,5/2/24,1924.3,C. Coolidge.6,"22,651.80
Craters of the Moon National Monument",Idaho.1,Unnamed: 1186,"NPS, BLM.1",Enlarged.47,7/23/28,1928.2,C. Coolidge.7,"26,240
Craters of the Moon National Monument",Idaho.2,Unnamed: 1194,"NPS, BLM.2",Enlarged.48,7/9/30,1930.5,H. Hoover.10,
Craters of the Moon National Monument,Idaho.3,Unnamed: 1202,"NPS, BLM.3",Diminished.9,7/18/41,1941.1,F. D. Roosevelt.12,
Craters of the Moon National Monument.1,Idaho.4,Unnamed: 1210,"NPS, BLM.4",Enlarged.49,11/19/62,1962.3,J. Kennedy.4,5360
Craters of the Moon National Monument,Idaho.5,Unnamed: 1218,"NPS, BLM.5",Enlarged under BLM,11/9/00,2000.1,W. Clinton.1,"661,287
Statue of Liberty National Monument",New York,Fort Wood,NPS.131,Established.52,10/15/24,1924.4,C. Coolidge.8,2.5
Statue of Liberty National Monument,New York.1,Fort Wood.1,NPS.132,Enlarged.50,9/7/37,1937.3,F. D. Roosevelt.13,7.88
Statue of Liberty National Monument,New York.2,Fort Wood.2,NPS.133,"Enlarged, redesignated Statue of Liberty NM",5/11/65,1965,L. Johnson.1,48
Castle Pinckney,South Carolina,Unnamed: 1250,State of South Carolina,Established.53,10/15/24.1,1924.5,C. Coolidge.9,3.5
Castle Pinckney,South Carolina.1,Unnamed: 1258,State of South Carolina.1,Transferred to SC,3/29/56,1956.3,84th Congress.3,
Fort Pulaski National Monument,Georgia,Unnamed: 1266,NPS.134,Established.54,10/15/24.2,1924.6,C. Coolidge.10,20
Fort Pulaski National Monument,Georgia.1,Unnamed: 1274,NPS.135,Enlarged.51,8/14/58,1958.2,D. Eisenhower.6,2.5
Castillo de San Marcos National Monument,Florida,Fort Marion,NPS.136,Established.55,10/15/24.3,1924.7,C. Coolidge.11,18.51
Castillo de San Marcos National Monument,Florida.1,Fort Marion.1,NPS.137,Redesignated Castillo San Marcos NM,6/5/42,1942.1,57th Congress,
Fort Matanzas National Monument,Florida.2,Unnamed: 1298,NPS.138,Established.56,10/15/24.4,1924.8,C. Coolidge.12,1
Fort Matanzas National Monument,Florida.3,Unnamed: 1306,NPS.139,Enlarged.52,1/9/35,1935.1,F. D. Roosevelt.14,88
Fort Matanzas National Monument,Florida.4,Unnamed: 1314,NPS.140,Enlarged.53,3/24/48,1948.1,H. Truman.5,209.42
Wupatki National Monument,Arizona.29,Unnamed: 1322,NPS.141,Established.57,12/9/24,1924.9,C. Coolidge.13,"2,234.10
Wupatki National Monument",Arizona.30,Unnamed: 1330,NPS.142,Enlarged.54,7/9/37,1937.4,F. D. Roosevelt.15,"33,631.20
Wupatki National Monument",Arizona.31,Unnamed: 1338,NPS.143,Diminished.10,1/22/41,1941.2,F. D. Roosevelt.16,52.27
Natchez Trace National Scenic Trail,Tennessee,Meriwether Lewis National Monument,NPS.144,Established.58,2/6/25,1925,C. Coolidge.14,50
Natchez Trace National Scenic Trail,Tennessee.1,Meriwether Lewis National Monument.1,NPS.145,Enlarged.55,12/6/27,1927,C. Coolidge.15,100
Natchez Trace National Scenic Trail,Tennessee.2,Meriwether Lewis National Monument.2,NPS.146,"Included in the Natchez Trace Parkway, now Natchez Trace National Scenic Trail",8/10/61,1961.1,Unnamed: 1367,
Glacier Bay National Park and Preserve,Alaska.13,Glacier Bay National Monument,NPS.147,Established.59,2/26/25,1925.1,C. Coolidge.16,"1,379,315.58
Glacier Bay National Park and Preserve",Alaska.14,Glacier Bay National Monument.1,NPS.148,Enlarged.56,4/18/39,1939.1,F. D. Roosevelt.17,"904,960
Glacier Bay National Park and Preserve",Alaska.15,Glacier Bay National Monument.2,NPS.149,Diminished.11,3/31/55,1955.1,D. Eisenhower.7,"4,193 (water)
Glacier Bay National Park and Preserve",Alaska.16,Glacier Bay National Monument.3,NPS.150,Diminished.12,Unnamed: 1397,Unnamed: 1398,Unnamed: 1399,"24,925
Glacier Bay National Park and Preserve",Alaska.17,Glacier Bay National Monument.4,NPS.151,Enlarged.57,12/1/78.1,1978.6,J. Carter.1,"550,000
Glacier Bay National Park and Preserve",Alaska.18,Glacier Bay National Monument.5,NPS.152,Redesignated NP&P.1,12/2/80.1,1980.3,96th Congress.4,
Part of Old Fort Niagara State Park,New York.3,Father Millet Cross,State of New York,Established.60,9/5/25,1925.2,C. Coolidge.17,0.0074
Part of Old Fort Niagara State Park,New York.4,Father Millet Cross.1,State of New York.1,Transferred to NY,9/7/49,1949,81st Congress.1,
Part of Old Fort Niagara State Park.1,New York.5,Father Millet Cross.2,State of New York.2,Now part of Old Fort Niagara State Park,Unnamed: 1437,Unnamed: 1438,Unnamed: 1439,
Lava Beds National Monument,California.21,Unnamed: 1442,NPS.153,Established.61,11/21/25,1925.3,C. Coolidge.18,"45,589.92
Lava Beds National Monument",California.22,Unnamed: 1450,NPS.154,Enlarged.58,4/27/51,1951.2,H. Truman.6,211.13
Arches National Park,Utah.13,Arches National Monument,NPS.155,Established.62,4/12/29,1929.1,H. Hoover.11,"4,520
Arches National Park",Utah.14,Arches National Monument.1,NPS.156,Enlarged.59,11/25/38,1938.4,F. D. Roosevelt.18,"29,160
Arches National Park",Utah.15,Arches National Monument.2,NPS.157,Enlarged.60,7/22/60,1960,D. Eisenhower.8,480
Arches National Park,Utah.16,Arches National Monument.3,NPS.158,Diminished.13,7/22/60.1,1960.1,D. Eisenhower.9,720
Arches National Park,Utah.17,Arches National Monument.4,NPS.159,Enlarged.61,1/20/69.1,1969.1,L. Johnson.2,"48,943
Arches National Park",Utah.18,Arches National Monument.5,NPS.160,Redesignated NP.6,11/12/71,1971,92d Congress.1,
Part of White River National Forest,Colorado.7,Holy Cross National Monument,USFS.2,Established.63,5/11/29,1929.2,H. Hoover.12,"1,392
Part of White River National Forest",Colorado.8,Holy Cross National Monument.1,USFS.3,Redesignated under Forest Service,8/3/50.1,1950.1,81st Congress.2,
Sunset Crater Volcano National Monument,Arizona.32,Sunset Crater National Monument,NPS.161,Established.64,5/26/30,1930.6,H. Hoover.13,"3,040
Sunset Crater Volcano National Monument",Arizona.33,Sunset Crater National Monument.1,NPS.162,Redesignated Sunset Crater Volcano NM,11/16/90,1990.1,101st Congress.1,
Great Sand Dunes National Park and Preserve,Colorado.9,Great Sand Dunes National Monument,NPS.163,Established.65,3/17/32,1932.3,H. Hoover.14,"35,528.36
Great Sand Dunes National Park and Preserve",Colorado.10,Great Sand Dunes National Monument.1,NPS.164,Resurveyed & Modified,3/12/46,1946,H. Truman.7,
Great Sand Dunes National Park and Preserve.1,Colorado.11,Great Sand Dunes National Monument.2,NPS.165,Enlarged.62,6/7/56,1956.4,D. Eisenhower.10,960
Great Sand Dunes National Park and Preserve,Colorado.12,Great Sand Dunes National Monument.3,NPS.166,Diminished.14,Unnamed: 1565,Unnamed: 1566,Unnamed: 1567,9880
Great Sand Dunes National Park and Preserve,Colorado.13,Great Sand Dunes National Monument.4,NPS.167,Renamed National Park & Preserve,11/22/00,2000.2,106th Congress,
Grand Canyon National Park,Arizona.34,"Grand Canyon ""II""",NPS.168,Established.66,12/22/32,1932.4,H. Hoover.15,"273,145
Grand Canyon National Park",Arizona.35,"Grand Canyon ""II"".1",NPS.169,Diminished.15,4/4/40,1940.1,F. D. Roosevelt.19,"71,854
Grand Canyon National Park",Arizona.36,"Grand Canyon ""II"".2",NPS.170,Redesignated Grand Canyon NP.1,1/3/75,1975,93d Congress,
White Sands National Monument,New Mexico.24,Unnamed: 1602,NPS.171,Established.67,1/18/33,1933.3,H. Hoover.16,"131,486.84
White Sands National Monument",New Mexico.25,Unnamed: 1610,NPS.172,Enlarged.63,11/28/34,1934,F. D. Roosevelt.20,158.91
White Sands National Monument,New Mexico.26,Unnamed: 1618,NPS.173,Diminished.16,8/29/38,1938.5,F. D. Roosevelt.21,
White Sands National Monument.1,New Mexico.27,Unnamed: 1626,NPS.174,Enlarged.64,6/24/53,1953,D. Eisenhower.11,478.53
White Sands National Monument,New Mexico.28,Unnamed: 1634,NPS.175,Enlarged.65,11/10/78.5,1978.7,95th Congress.5,760
