Chicago IL,33%.1,28%.3,19%.4,10%.13,3%.31,4%.22,5%.15,31.09%
Chico-Redding CA,44%,24%.2,18%.2,3%.32,5%.16,2%.10,4%.23,56.06%
Cincinnati OH,38%,20%.9,16%.4,4%.24,5%.17,10%.14,8%.10,57.57%
Clarksburg-Weston WV,35%,17%.5,12%.9,5%.18,10%.15,8%.11,14%.9,69.75%
Cleveland-Akron (Canton) OH,34%.1,33%.2,16%.5,3%.33,4%.25,2%.11,7%.6,46.14%
Colorado Springs-Pueblo CO,52%,17%.6,12%.10,6%.13,3%.34,3%.35,7%.7,55.71%
Columbia SC,36%.3,26%.3,8%.12,2%.12,6%.14,4%.26,17%.7,61.12%
Columbia-Jefferson City MO,33%.3,19%.5,23%.3,6%.15,6%.16,5%.19,8%.13,45.53%
Columbus GA,30%.2,27%.2,9%.10,2%.13,5%.20,6%.17,21%.4,50.82%
Columbus OH,33%.4,24%.3,12%.11,8%.14,5%.21,5%.22,13%.5,47.90%
Columbus-Tupelo-West Point MS,39%.4,23%.4,9%.11,2%.14,6%.18,4%.27,16%.6,63.82%
Corpus Christi TX,47%.1,29%.2,10%.16,2%.15,3%.36,2%.16,7%.8,51.18%
Dallas-Ft. Worth TX,40%.4,28%.4,13%.6,3%.37,3%.38,3%.39,10%.17,53.50%
Davenport IA-Rock Island-Moline IL,38%.1,18%.3,21%.5,5%.23,7%.9,4%.28,7%.10,49.45%
Dayton OH,40%.5,21%.6,12%.12,4%.29,6%.19,6%.20,10%.18,58.66%
Denver CO,49%,19%.6,13%.7,7%.11,3%.40,3%.41,6%.21,40.73%
Des Moines-Ames IA,39%.5,19%.7,15%.2,4%.30,7%.12,7%.13,10%.19,49.64%
Detroit MI,30%.3,26%.4,16%.7,10%.20,3%.42,6%.22,9%.12,41.93%
Dothan AL,29%.3,21%.7,8%.15,2%.17,7%.14,4%.31,29%.4,73.61%
Duluth MN-Superior WI,43%.2,15%.3,13%.8,18%.4,5%.24,3%.43,4%.32,44.08%
El Paso TX,54%,25%.2,10%.21,2%.18,2%.19,2%.20,5%.25,28.53%
Elmira NY,44%.1,14%.10,15%.4,7%.15,12%.13,3%.44,4%.33,62.86%
Erie PA,44%.2,16%.8,15%.5,12%.14,6%.23,3%.45,5%.26,53.78%
Eugene OR,34%.2,28%.5,12%.15,3%.46,4%.34,4%.35,15%.6,40.87%
Eureka CA,37%.2,26%.5,23%.5,3%.47,4%.36,2%.21,4%.37,34.44%
Evansville IN,30%.4,21%.8,14%.11,3%.48,7%.16,19%.8,5%.27,65.84%
Fargo-Valley City ND,44%.3,18%.5,12%.16,13%.9,5%.28,3%.49,6%.24,56.78%
Flint-Saginaw-Bay City MI,31%.1,20%.10,16%.9,8%.16,7%.17,8%.17,9%.13,51.00%
Florence-Myrtle Beach SC,37%.3,22%.4,12%.17,3%.50,10%.22,5%.29,11%.9,56.54%
Fresno-Visalia CA,46%,26%.6,15%.7,4%.38,3%.51,2%.22,4%.39,46.28%
Ft. Myers-Naples FL,38%.2,21%.9,15%.8,8%.18,5%.30,5%.31,8%.19,59.62%
Ft. Smith-Fayetteville-Springdale-Rogers AR,35%.1,25%.3,12%.18,3%.52,5%.32,5%.33,16%.10,63.21%
Ft. Wayne IN,39%.6,21%.10,14%.12,5%.34,7%.18,7%.19,7%.20,64.98%
Gainesville FL,32%.1,26%.7,9%.14,4%.40,4%.41,5%.35,19%.9,44.27%
Glendive MT,56%,14%.13,13%.10,0%,9%.15,3%.53,4%.42,77.21%
Grand Junction-Montrose CO,54%.1,15%.9,12%.19,5%.36,5%.37,3%.54,6%.25,64.91%
Grand Rapids-Kalamazoo-Battle Creek MI,30%.5,19%.10,16%.11,8%.20,6%.26,10%.23,10%.24,52.87%
Great Falls MT,50%.1,19%.11,11%.10,5%.38,5%.39,3%.55,6%.27,59.38%
Green Bay-Appleton WI,51%.1,16%.12,14%.14,4%.43,6%.28,3%.56,5%.40,55.80%
Greensboro-High Point-Winston Salem NC,38%.3,23%.6,9%.16,3%.57,10%.25,9%.17,7%.21,54.19%
Greenville-New Bern-Washington NC,40%.6,21%.11,11%.11,4%.44,9%.18,7%.22,9%.19,55.91%
Greenville-Spartanburg SC-Asheville NC-Anderson SC,34%.3,20%.11,11%.12,3%.58,9%.20,6%.29,17%.8,61.19%
Greenwood-Greenville MS,33%.5,39%.7,8%.21,1%.4,3%.59,4%.45,12%.20,38.45%
Harlingen-Weslaco-Brownsville-McAllen TX,50%.2,33%.6,10%.26,1%.5,2%.23,1%.6,4%.46,29.00%
Harrisburg-Lancaster-Lebanon-York PA,43%.3,16%.13,17%.9,9%.21,7%.23,3%.60,6%.30,59.18%
Harrisonburg VA,42%.1,20%.12,12%.21,5%.41,8%.22,5%.42,7%.24,61.24%
Hartford & New Haven CT,38%.4,24%.4,19%.12,8%.23,4%.47,3%.61,4%.48,41.93%
Hattiesburg-Laurel MS,40%.7,24%.5,8%.24,1%.7,5%.43,3%.62,20%.13,65.41%
Helena MT,52%.1,15%.10,11%.13,6%.31,4%.49,4%.50,8%.25,51.48%
Honolulu HI,43%.4,29%.5,11%.14,4%.51,1%.8,3%.63,8%.26,30.04%
Houston TX,42%.2,32%.2,12%.22,2%.24,2%.25,2%.26,8%.27,49.76%
Huntsville-Decatur (Florence) AL,27%.3,22%.5,9%.22,3%.64,7%.25,5%.44,27%.4,67.73%
Idaho Falls-Pocatello ID,44%.4,24%.6,10%.27,5%.45,4%.52,3%.65,9%.23,58.14%
Indianapolis IN,37%.4,28%.6,12%.23,3%.66,6%.32,7%.26,6%.33,54.95%
Jackson MS,38%.5,31%.2,8%.28,1%.9,4%.53,4%.54,15%.11,49.42%
Jackson TN,32%.3,28%.7,13%.11,2%.27,7%.27,5%.46,13%.12,68.00%
Jacksonville FL,42%.3,23%.7,9%.24,4%.55,5%.47,3%.67,13%.13,58.92%
Johnstown-Altoona PA,37%.5,14%.15,17%.10,13%.14,6%.34,3%.68,9%.25,66.30%
Jonesboro AR,31%.3,28%.8,15%.12,2%.28,7%.28,5%.48,14%.16,68.79%
Joplin MO-Pittsburg KS,41%.3,18%.6,18%.7,2%.29,7%.29,6%.35,8%.29,72.57%
Kansas City MO,36%.4,18%.8,25%.4,3%.69,4%.56,8%.30,6%.36,49.73%
Knoxville TN,32%.4,19%.13,11%.15,4%.57,10%.28,7%.30,17%.11,70.60%
La Crosse-Eau Claire WI,48%.2,16%.14,14%.17,6%.37,6%.38,4%.58,5%.49,49.37%
Lafayette IN,33%.7,30%.6,13%.15,5%.50,4%.59,8%.31,7%.31,51.70%
Lafayette LA,45%.3,28%.9,8%.32,2%.30,3%.70,3%.71,13%.16,66.55%
Lake Charles LA,43%.5,27%.5,9%.26,2%.31,4%.60,2%.32,12%.24,68.47%
Lansing MI,26%.8,21%.12,13%.17,8%.33,5%.51,16%.15,11%.16,46.28%
Laredo TX,44%.5,39%.8,10%.29,2%.33,1%.10,1%.11,3%.72,23.28%
Las Vegas NV,38%.6,27%.6,16%.16,6%.39,3%.73,4%.61,6%.40,42.47%
Lexington KY,22%.6,20%.14,8%.34,2%.34,6%.41,35%.2,7%.32,63.82%
Lima OH,36%.5,22%.7,13%.18,3%.74,8%.35,5%.52,14%.18,72.08%
Lincoln & Hastings-Kearney NE,33%.8,19%.14,13%.19,3%.75,6%.42,5%.53,20%.15,63.22%
Little Rock-Pine Bluff AR,32%.5,28%.10,16%.17,2%.35,4%.62,4%.63,13%.20,58.17%
Los Angeles CA,34%.4,35%.3,16%.18,6%.43,2%.36,3%.76,5%.54,31.70%
Louisville KY,26%.9,21%.13,9%.27,2%.37,6%.44,27%.7,9%.28,54.68%
Lubbock TX,42%.4,25%.5,12%.25,2%.38,3%.77,3%.78,12%.26,69.69%
Macon GA,34%.5,29%.6,10%.30,2%.39,7%.33,4%.64,14%.19,54.20%
Madison WI,43%.6,18%.9,14%.20,5%.55,7%.34,5%.56,8%.36,32.97%
Mankato MN,44%.6,18%.10,14%.21,12%.27,4%.65,3%.79,4%.66,54.38%
Marquette MI,41%.4,13%.21,15%.13,16%.19,5%.57,4%.67,5%.58,55.34%
Medford-Klamath Falls OR,42%.5,23%.8,15%.14,3%.80,5%.59,3%.81,10%.31,55.46%
Memphis TN,33%.9,36%.6,9%.29,2%.40,4%.68,5%.60,11%.17,47.36%
Meridian MS,28%.11,29%.7,14%.22,2%.41,5%.61,5%.62,17%.12,58.93%
Miami-Ft. Lauderdale FL,31%.4,41%.5,13%.22,4%.69,2%.42,2%.43,6%.45,33.03%
Milwaukee WI,42%.6,25%.6,16%.20,5%.63,4%.70,4%.71,5%.64,46.14%
Minneapolis-St. Paul MN,41%.6,21%.14,14%.23,13%.23,4%.72,3%.82,5%.65,44.33%
Minot-Bismarck-Dickinson(Williston) ND,50%.3,17%.13,11%.18,8%.37,6%.46,3%.83,5%.66,71.05%
Missoula MT,49%.1,17%.14,12%.28,6%.47,4%.73,4%.74,8%.38,54.19%
Mobile AL-Pensacola (Ft. Walton Beach) FL,34%.6,21%.15,10%.32,3%.84,6%.48,4%.75,22%.8,64.14%
Monroe LA-El Dorado AR,38%.7,31%.5,9%.30,1%.12,5%.67,3%.85,13%.24,63.82%
Monterey-Salinas CA,38%.8,31%.6,19%.15,5%.68,2%.44,2%.45,4%.76,22.95%
Montgomery (Selma) AL,24%.7,28%.12,8%.39,1%.13,5%.69,6%.49,27%.8,50.20%
Nashville TN,35%.4,21%.16,10%.33,7%.35,6%.50,8%.40,13%.25,60.71%
New Orleans LA,45%.4,28%.13,8%.41,2%.46,3%.86,3%.87,11%.19,53.67%
New York NY,32%.6,32%.7,19%.16,9%.31,2%.47,3%.88,3%.89,35.24%
Norfolk-Portsmouth-Newport News VA,47%.2,23%.9,11%.20,4%.77,5%.70,4%.78,6%.51,44.00%
North Platte NE,38%.9,17%.15,10%.34,2%.48,7%.36,5%.71,21%.17,77.35%
Odessa-Midland TX,48%.3,24%.8,12%.29,2%.49,4%.79,2%.50,9%.32,70.44%
Oklahoma City OK,32%.8,33%.10,9%.33,3%.90,4%.80,3%.91,15%.15,62.83%
Omaha NE,34%.7,20%.16,14%.24,4%.81,5%.72,6%.52,16%.21,55.34%
Orlando-Daytona Beach-Melbourne FL,35%.5,28%.14,14%.25,5%.73,5%.74,3%.92,10%.35,49.22%
Ottumwa IA-Kirksville MO,37%.6,16%.22,18%.11,4%.82,11%.21,9%.34,6%.53,63.52%
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,29%.8,21%.18,22%.9,4%.83,7%.37,11%.22,6%.54,71.45%
Palm Springs CA,41%.7,23%.10,16%.23,9%.35,3%.93,3%.94,5%.75,44.73%
Panama City FL,32%.9,19%.17,10%.36,4%.84,7%.38,4%.85,23%.11,72.62%
Parkersburg WV,36%.7,18%.12,11%.23,4%.86,11%.24,6%.55,13%.26,69.63%
Peoria-Bloomington IL,33%.11,21%.19,26%.10,7%.39,5%.76,4%.87,4%.88,52.81%
Philadelphia PA,40%.8,25%.7,15%.16,9%.36,3%.95,3%.96,4%.89,36.61%
Phoenix AZ,44%.7,23%.12,15%.17,6%.56,3%.97,4%.90,6%.57,50.09%
Pittsburgh PA,33%.12,13%.27,19%.18,20%.17,4%.91,5%.77,6%.58,52.24%
Portland OR,33%.13,33%.14,16%.24,5%.78,3%.98,3%.99,8%.42,36.85%
Portland-Auburn ME,39%.9,19%.19,19%.20,10%.37,7%.40,2%.51,3%.100,42.97%
Presque Isle ME,31%.7,26%.11,18%.13,11%.25,9%.37,3%.101,2%.52,55.54%
Providence RI-New Bedford MA,41%.8,24%.9,18%.14,10%.38,3%.102,3%.103,3%.104,40.21%
Quincy IL-Hannibal MO-Keokuk IA,34%.8,18%.15,27%.9,5%.79,7%.41,4%.92,5%.80,68.03%
Raleigh-Durham (Fayetteville) NC,37%.7,25%.8,10%.39,5%.81,6%.59,10%.40,7%.42,40.60%
Rapid City SD,51%.2,17%.16,12%.30,5%.82,5%.83,3%.105,6%.60,66.94%
Reno NV,42%.7,22%.10,19%.21,5%.84,3%.106,3%.107,6%.61,51.55%
Richmond-Petersburg VA,43%.7,24%.10,11%.26,4%.93,6%.62,5%.85,6%.63,44.06%
Roanoke-Lynchburg VA,35%.6,22%.11,14%.26,5%.86,9%.38,6%.64,10%.41,60.30%
Rochester MN-Mason City IA-Austin MN,45%.5,18%.16,13%.28,9%.39,6%.65,3%.108,6%.66,50.78%
Rochester NY,44%.8,18%.17,16%.25,11%.27,4%.94,3%.109,3%.110,44.07%
Rockford IL,40%.9,21%.20,20%.18,7%.43,5%.87,3%.111,4%.95,50.22%
Sacramento-Stockton-Modesto CA,40%.10,33%.15,16%.26,3%.112,3%.113,2%.53,4%.96,40.26%
Salisbury MD,44%.9,18%.18,20%.19,5%.88,6%.67,3%.114,4%.97,57.38%
Salt Lake City UT,39%.10,32%.10,10%.42,4%.98,3%.115,3%.116,10%.43,46.81%
San Angelo TX,46%.1,24%.11,11%.28,2%.54,4%.99,2%.55,11%.29,74.12%
San Antonio TX,39%.11,39%.12,9%.40,2%.56,2%.57,2%.58,7%.44,49.36%
San Diego CA,43%.8,26%.12,16%.27,5%.89,2%.59,3%.117,5%.90,37.02%
San Francisco-Oakland-San Jose CA,34%.9,36%.8,17%.17,5%.91,2%.60,2%.61,4%.100,18.56%
Santa Barbara-Santa Maria-San Luis Obispo CA,38%.10,30%.7,17%.18,5%.92,2%.62,3%.118,5%.93,36.03%
Savannah GA,37%.8,26%.13,11%.30,4%.101,6%.68,4%.102,13%.29,54.52%
Seattle-Tacoma WA,47%.3,21%.21,13%.30,4%.103,2%.63,3%.119,10%.44,32.15%
Sherman TX-Ada OK,38%.11,25%.9,13%.31,2%.64,6%.69,3%.120,13%.32,75.05%
Shreveport LA,41%.9,28%.15,10%.45,2%.65,5%.94,2%.66,11%.31,63.05%
Sioux City IA,40%.11,18%.19,12%.31,4%.104,7%.45,7%.46,12%.32,68.06%
Sioux Falls(Mitchell) SD,48%.4,19%.22,12%.33,5%.95,6%.70,4%.105,6%.71,61.41%
South Bend-Elkhart IN,32%.11,21%.22,15%.18,5%.96,7%.47,9%.41,12%.34,58.42%
Spokane WA,45%.6,16%.28,10%.46,4%.106,4%.107,13%.33,7%.48,56.02%
Springfield MO,38%.12,18%.20,20%.20,4%.108,7%.49,4%.109,7%.50,72.57%
Springfield-Holyoke MA,39%.13,24%.12,18%.21,10%.47,3%.121,3%.122,3%.123,34.52%
St. Joseph MO,42%.8,18%.22,22%.12,2%.67,5%.97,5%.98,6%.72,64.68%
St. Louis MO,32%.12,18%.23,25%.10,11%.32,4%.110,4%.111,5%.99,50.62%
Syracuse NY,38%.13,23%.13,14%.27,9%.42,6%.73,6%.74,5%.100,43.45%
Tallahassee FL-Thomasville GA,32%.13,25%.11,9%.43,3%.124,5%.101,4%.112,23%.14,48.52%
Tampa-St. Petersburg (Sarasota) FL,37%.9,21%.23,17%.19,9%.44,4%.113,3%.125,9%.45,52.10%
Terre Haute IN,38%.14,21%.24,18%.24,3%.126,9%.46,6%.75,5%.102,68.85%
Toledo OH,35%.7,21%.25,14%.28,6%.76,7%.51,5%.103,13%.34,51.10%
Topeka KS,37%.10,18%.25,19%.23,2%.68,5%.104,9%.47,10%.48,57.33%
Traverse City-Cadillac MI,31%.8,15%.19,18%.26,11%.33,8%.43,8%.44,10%.49,59.97%
Tri-Cities TN-VA,33%.16,17%.20,11%.34,3%.127,15%.20,7%.52,15%.21,76.54%
Tucson (Sierra Vista) AZ,39%.14,21%.26,13%.35,4%.114,3%.128,15%.22,6%.77,40.89%
Tulsa OK,33%.17,28%.16,11%.35,3%.129,5%.105,4%.115,16%.29,65.59%
Twin Falls ID,45%.7,22%.13,10%.50,4%.116,4%.117,4%.118,10%.51,62.85%
Tyler-Longview(Lufkin & Nacogdoches) TX,42%.9,24%.13,14%.29,2%.69,5%.106,2%.70,10%.52,72.80%
Utica NY,38%.15,20%.21,17%.21,10%.53,6%.78,4%.119,4%.120,57.47%
Victoria TX,45%.8,30%.8,10%.54,2%.71,4%.121,2%.72,7%.53,68.36%
Waco-Temple-Bryan TX,39%.15,27%.10,10%.55,2%.73,4%.122,3%.130,14%.30,61.59%
Washington DC (Hagerstown MD),43%.9,24%.14,14%.31,7%.54,3%.131,4%.123,5%.107,29.90%
Watertown NY,39%.16,16%.30,14%.32,16%.31,8%.45,3%.132,4%.124,55.93%
Wausau-Rhinelander WI,49%.2,14%.33,15%.23,6%.79,8%.46,3%.133,5%.108,55.86%
West Palm Beach-Ft. Pierce FL,31%.9,34%.10,18%.27,6%.80,3%.134,2%.74,5%.109,45.87%
Wheeling WV-Steubenville OH,38%.16,15%.24,16%.32,9%.48,6%.81,4%.125,11%.36,67.75%
Wichita Falls TX & Lawton OK,40%.12,26%.14,12%.35,2%.75,5%.110,3%.135,12%.36,73.72%
Wichita-Hutchinson KS,42%.10,21%.27,13%.36,3%.136,5%.111,9%.49,8%.47,65.22%
Wilkes Barre-Scranton PA,43%.10,16%.33,16%.34,7%.55,8%.48,3%.137,7%.56,60.11%
Wilmington NC,40%.13,20%.22,12%.37,5%.112,8%.49,9%.50,7%.57,55.91%
Yakima-Pasco-Richland-Kennewick WA,52%.2,19%.24,11%.37,3%.138,3%.139,4%.126,7%.58,55.26%
Youngstown OH,41%.10,23%.15,15%.25,5%.113,5%.114,3%.140,8%.50,53.17%
Yuma AZ-El Centro CA,47%.4,22%.14,18%.28,4%.127,3%.141,2%.76,4%.128,37.48%
Zanesville OH,36%.9,21%.28,11%.38,4%.129,10%.56,4%.130,14%.34,64.59%
